Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+,nome,UF
macapá,40461.0,24503.0,0.6055955117273424,MU,1600303,21.92,3470.54,macapá,16.0
macapá,40461.0,24503.0,0.6055955117273424,MU,1600303,28.0,3470.54,macapá,16.0
macapá,40461.0,24503.0,0.6055955117273424,MU,1600303,95.66,3470.54,macapá,16.0
mazagão,1400.0,765.0,0.5464285714285714,MU,1600402,16.05,2485.775,mazagão,16.0
mazagão,1400.0,765.0,0.5464285714285714,MU,1600402,23.0,2485.775,mazagão,16.0
mazagão,1400.0,765.0,0.5464285714285714,MU,1600402,108.34,2485.775,mazagão,16.0
oiapoque,1630.0,1211.0,0.7429447852760737,MU,1600501,10.97,2669.91,oiapoque,16.0
oiapoque,1630.0,1211.0,0.7429447852760737,MU,1600501,24.0,2669.91,oiapoque,16.0
oiapoque,1630.0,1211.0,0.7429447852760737,MU,1600501,105.4,2669.91,oiapoque,16.0
porto grande,1450.0,944.0,0.6510344827586206,MU,1600535,18.06,1865.995,porto grande,16.0
porto grande,1450.0,944.0,0.6510344827586206,MU,1600535,25.0,1865.995,porto grande,16.0
porto grande,1450.0,944.0,0.6510344827586206,MU,1600535,105.65,1865.995,porto grande,16.0
pracuúba,252.0,111.0,0.4404761904761904,MU,1600550,14.92,1933.91,pracuúba,16.0
pracuúba,252.0,111.0,0.4404761904761904,MU,1600550,22.0,1933.91,pracuúba,16.0
pracuúba,252.0,111.0,0.4404761904761904,MU,1600550,110.11,1933.91,pracuúba,16.0
santana,8395.0,4932.0,0.5874925550923169,MU,1600600,22.15,2337.66,santana,29.0
santana,8395.0,4932.0,0.5874925550923169,MU,1600600,22.15,2337.66,santana,16.0
santana,8395.0,4932.0,0.5874925550923169,MU,1600600,27.0,2337.66,santana,29.0
santana,8395.0,4932.0,0.5874925550923169,MU,1600600,27.0,2337.66,santana,16.0
santana,8395.0,4932.0,0.5874925550923169,MU,1600600,99.04,2337.66,santana,29.0
santana,8395.0,4932.0,0.5874925550923169,MU,1600600,99.04,2337.66,santana,16.0
tartarugalzinho,787.0,537.0,0.6823379923761118,MU,1600709,15.65,2312.0,tartarugalzinho,16.0
tartarugalzinho,787.0,537.0,0.6823379923761118,MU,1600709,23.0,2312.0,tartarugalzinho,16.0
tartarugalzinho,787.0,537.0,0.6823379923761118,MU,1600709,110.28,2312.0,tartarugalzinho,16.0
vitória do jari,807.0,477.0,0.5910780669144982,MU,1600808,16.92,2458.605,vitória do jari,16.0
vitória do jari,807.0,477.0,0.5910780669144982,MU,1600808,24.0,2458.605,vitória do jari,16.0
vitória do jari,807.0,477.0,0.5910780669144982,MU,1600808,106.04,2458.605,vitória do jari,16.0
abreulândia,271.0,253.0,0.933579335793358,MU,1700251,44.39,2071.245,abreulândia,17.0
abreulândia,271.0,253.0,0.933579335793358,MU,1700251,34.0,2071.245,abreulândia,17.0
abreulândia,271.0,253.0,0.933579335793358,MU,1700251,112.72,2071.245,abreulândia,17.0
aguiarnópolis,350.0,287.0,0.82,MU,1700301,38.25,1655.995,aguiarnópolis,17.0
