Município,Total,Única,Proporção casais sem filhos,Nível,Código,Índice de envelhecimento,Renda média 60+
Damolândia (GO),427.0,359.0,0.8407494145199064,MU,5206800,97.39,1685.165
Davinópolis (GO),283.0,254.0,0.8975265017667845,MU,5206909,91.37,1960.065
Davinópolis (GO),283.0,254.0,0.8975265017667845,MU,5206909,40.0,1960.065
Davinópolis (GO),283.0,254.0,0.8975265017667845,MU,5206909,101.91,1960.065
Diorama (GO),347.0,335.0,0.9654178674351584,MU,5207105,109.58,2099.705
Diorama (GO),347.0,335.0,0.9654178674351584,MU,5207105,44.0,2099.705
Diorama (GO),347.0,335.0,0.9654178674351584,MU,5207105,101.37,2099.705
Doverlândia (GO),1082.0,1002.0,0.9260628465804066,MU,5207253,68.19,2768.76
Doverlândia (GO),1082.0,1002.0,0.9260628465804066,MU,5207253,39.0,2768.76
Doverlândia (GO),1082.0,1002.0,0.9260628465804066,MU,5207253,107.09,2768.76
Edealina (GO),585.0,550.0,0.9401709401709402,MU,5207352,83.9,3497.25
Edealina (GO),585.0,550.0,0.9401709401709402,MU,5207352,40.0,3497.25
Edealina (GO),585.0,550.0,0.9401709401709402,MU,5207352,100.65,3497.25
Edéia (GO),1526.0,1368.0,0.8964613368283093,MU,5207402,58.12,3080.71
Edéia (GO),1526.0,1368.0,0.8964613368283093,MU,5207402,36.0,3080.71
Edéia (GO),1526.0,1368.0,0.8964613368283093,MU,5207402,100.32,3080.71
Estrela do Norte (GO),482.0,435.0,0.9024896265560166,MU,5207501,70.72,1704.705
Estrela do Norte (GO),482.0,435.0,0.9024896265560166,MU,5207501,37.0,1704.705
Estrela do Norte (GO),482.0,435.0,0.9024896265560166,MU,5207501,97.23,1704.705
Faina (GO),1123.0,1044.0,0.9296527159394479,MU,5207535,85.37,2252.37
Faina (GO),1123.0,1044.0,0.9296527159394479,MU,5207535,41.0,2252.37
Faina (GO),1123.0,1044.0,0.9296527159394479,MU,5207535,107.76,2252.37
